x	y	z	contour type	slice	weight	time frame
256.0	214.0	96.0	SAX_LV_ENDOCARDIAL	10	500	0
299.0	183.0	61.0	SAX_LV_ENDOCARDIAL	10	500	0
291.0	205.0	96.0	SAX_LV_ENDOCARDIAL	10	500	0
250.0	164.0	75.0	SAX_LV_ENDOCARDIAL	10	500	0
267.0	152.0	61.0	SAX_LV_ENDOCARDIAL	10	500	0
261.0	202.0	107.0	SAX_LV_ENDOCARDIAL	10	500	0
309.0	133.0	64.0	SAX_LV_ENDOCARDIAL	10	500	0
310.0	137.0	71.0	SAX_LV_ENDOCARDIAL	10	500	0
302.0	190.0	93.0	SAX_LV_ENDOCARDIAL	10	500	0
284.0	137.0	96.0	SAX_LV_ENDOCARDIAL	10	500	0
274.0	157.0	111.0	SAX_LV_ENDOCARDIAL	10	500	0
257.0	173.0	109.0	SAX_LV_ENDOCARDIAL	10	500	0
245.0	168.0	104.0	SAX_LV_ENDOCARDIAL	10	500	0
252.0	215.0	89.0	SAX_LV_ENDOCARDIAL	10	500	0
253.0	215.0	66.0	SAX_LV_ENDOCARDIAL	10	500	0
229.0	208.0	62.0	SAX_LV_ENDOCARDIAL	10	500	0
305.0	165.0	101.0	SAX_LV_ENDOCARDIAL	10	500	0
284.0	149.0	50.0	SAX_LV_ENDOCARDIAL	10	500	0
309.0	160.0	56.0	SAX_LV_ENDOCARDIAL	10	500	0
264.0	217.0	72.0	SAX_LV_ENDOCARDIAL	10	500	0
231.0	164.0	98.0	SAX_LV_ENDOCARDIAL	10	500	0
296.0	131.0	76.0	SAX_LV_ENDOCARDIAL	10	500	0
280.0	144.0	103.0	SAX_LV_ENDOCARDIAL	10	500	0
279.0	133.0	82.0	SAX_LV_ENDOCARDIAL	10	500	0
306.0	146.0	88.0	SAX_LV_ENDOCARDIAL	10	500	0
262.0	176.0	53.0	SAX_LV_ENDOCARDIAL	10	500	0
287.0	205.0	68.0	SAX_LV_ENDOCARDIAL	10	500	0
250.0	211.0	93.0	SAX_LV_ENDOCARDIAL	10	500	0
252.0	181.0	112.0	SAX_LV_ENDOCARDIAL	10	500	0
265.0	193.0	112.0	SAX_LV_ENDOCARDIAL	10	500	0
286.0	165.0	112.0	SAX_LV_ENDOCARDIAL	10	500	0
254.0	193.0	111.0	SAX_LV_ENDOCARDIAL	10	500	0
278.0	198.0	60.0	SAX_LV_ENDOCARDIAL	10	500	0
312.0	158.0	82.0	SAX_LV_ENDOCARDIAL	10	500	0
307.0	133.0	70.0	SAX_LV_ENDOCARDIAL	10	500	0
292.0	131.0	61.0	SAX_LV_ENDOCARDIAL	10	500	0
285.0	135.0	57.0	SAX_LV_ENDOCARDIAL	10	500	0
239.0	168.0	68.0	SAX_LV_ENDOCARDIAL	10	500	0
