x	y	z	contour type	sliceID	weight	time frame
19.917	-57.613	49.748	MITRAL_VALVE	1	1.0	5
59.831	-43.126	56.828	MITRAL_VALVE	1	1.0	5
17.416	-70.167	39.661	TRICUSPID_VALVE	1	1.0	5
-5.712	-90.448	25.717	TRICUSPID_VALVE	1	1.0	5
48.222	-72.466	56.388	MITRAL_VALVE	2	1.0	5
57.086	-41.389	40.946	MITRAL_VALVE	2	1.0	5
46.698	-73.709	58.375	AORTA_VALVE	2	1.0	5
48.397	-94.841	59.825	AORTA_VALVE	2	1.0	5
59.986	-56.295	60.952	MITRAL_VALVE	3	1.0	5
48.745	-39.754	32.202	MITRAL_VALVE	3	1.0	5
101.440	-117.293	3.452	APEX_POINT	3	1.0	5
69.486	-33.469	63.635	LAX_LV_ENDOCARDIAL	1	1.0	5
69.486	-33.469	63.635	LAX_LV_ENDOCARDIAL	1	1.0	5
68.148	-34.435	63.000	LAX_LV_ENDOCARDIAL	1	1.0	5
66.810	-35.400	62.365	LAX_LV_ENDOCARDIAL	1	1.0	5
65.570	-35.400	62.518	LAX_LV_ENDOCARDIAL	1	1.0	5
64.232	-36.366	61.883	LAX_LV_ENDOCARDIAL	1	1.0	5
62.895	-37.332	61.248	LAX_LV_ENDOCARDIAL	1	1.0	5
61.654	-37.332	61.401	LAX_LV_ENDOCARDIAL	1	1.0	5
60.316	-38.298	60.766	LAX_LV_ENDOCARDIAL	1	1.0	5
59.076	-38.298	60.919	LAX_LV_ENDOCARDIAL	1	1.0	5
57.738	-39.263	60.284	LAX_LV_ENDOCARDIAL	1	1.0	5
56.400	-40.229	59.649	LAX_LV_ENDOCARDIAL	1	1.0	5
34.708	-58.578	47.127	LAX_LV_ENDOCARDIAL	1	1.0	5
35.851	-59.544	46.187	LAX_LV_ENDOCARDIAL	1	1.0	5
36.995	-60.510	45.246	LAX_LV_ENDOCARDIAL	1	1.0	5
38.139	-61.476	44.306	LAX_LV_ENDOCARDIAL	1	1.0	5
39.282	-62.441	43.366	LAX_LV_ENDOCARDIAL	1	1.0	5
40.426	-63.407	42.425	LAX_LV_ENDOCARDIAL	1	1.0	5
41.666	-63.407	42.273	LAX_LV_ENDOCARDIAL	1	1.0	5
42.810	-64.373	41.332	LAX_LV_ENDOCARDIAL	1	1.0	5
44.051	-64.373	41.179	LAX_LV_ENDOCARDIAL	1	1.0	5
45.194	-65.339	40.239	LAX_LV_ENDOCARDIAL	1	1.0	5
46.338	-66.304	39.298	LAX_LV_ENDOCARDIAL	1	1.0	5
47.579	-66.304	39.146	LAX_LV_ENDOCARDIAL	1	1.0	5
48.722	-67.270	38.205	LAX_LV_ENDOCARDIAL	1	1.0	5
49.963	-67.270	38.053	LAX_LV_ENDOCARDIAL	1	1.0	5
51.107	-68.236	37.112	LAX_LV_ENDOCARDIAL	1	1.0	5
52.347	-68.236	36.959	LAX_LV_ENDOCARDIAL	1	1.0	5
53.491	-69.202	36.019	LAX_LV_ENDOCARDIAL	1	1.0	5
54.731	-69.202	35.866	LAX_LV_ENDOCARDIAL	1	1.0	5
55.875	-70.167	34.926	LAX_LV_ENDOCARDIAL	1	1.0	5
57.116	-70.167	34.773	LAX_LV_ENDOCARDIAL	1	1.0	5
58.259	-71.133	33.833	LAX_LV_ENDOCARDIAL	1	1.0	5
59.403	-72.099	32.892	LAX_LV_ENDOCARDIAL	1	1.0	5
60.644	-72.099	32.739	LAX_LV_ENDOCARDIAL	1	1.0	5
61.787	-73.064	31.799	LAX_LV_ENDOCARDIAL	1	1.0	5
62.931	-74.030	30.858	LAX_LV_ENDOCARDIAL	1	1.0	5
64.075	-74.996	29.918	LAX_LV_ENDOCARDIAL	1	1.0	5
65.218	-75.962	28.978	LAX_LV_ENDOCARDIAL	1	1.0	5
66.362	-76.927	28.037	LAX_LV_ENDOCARDIAL	1	1.0	5
66.265	-77.893	27.250	LAX_LV_ENDOCARDIAL	1	1.0	5
67.409	-78.859	26.309	LAX_LV_ENDOCARDIAL	1	1.0	5
68.552	-79.825	25.369	LAX_LV_ENDOCARDIAL	1	1.0	5
69.696	-80.790	24.428	LAX_LV_ENDOCARDIAL	1	1.0	5
70.840	-81.756	23.488	LAX_LV_ENDOCARDIAL	1	1.0	5
71.983	-82.722	22.547	LAX_LV_ENDOCARDIAL	1	1.0	5
73.127	-83.688	21.607	LAX_LV_ENDOCARDIAL	1	1.0	5
73.030	-84.653	20.819	LAX_LV_ENDOCARDIAL	1	1.0	5
74.174	-85.619	19.879	LAX_LV_ENDOCARDIAL	1	1.0	5
74.076	-86.585	19.091	LAX_LV_ENDOCARDIAL	1	1.0	5
75.220	-87.551	18.151	LAX_LV_ENDOCARDIAL	1	1.0	5
75.123	-88.516	17.363	LAX_LV_ENDOCARDIAL	1	1.0	5
76.267	-89.482	16.423	LAX_LV_ENDOCARDIAL	1	1.0	5
76.170	-90.448	15.635	LAX_LV_ENDOCARDIAL	1	1.0	5
77.314	-91.414	14.694	LAX_LV_ENDOCARDIAL	1	1.0	5
